pasos,media,std,maximo,minimo,episodios,segundos
250000,155.0,0.0,155,155,5,12
500000,298.0,176.0,650,210,5,8
750000,193.0,48.4,245,115,5,7
1000000,198.0,99.6,395,130,5,7
